"movie.name","movie.cast","movie.link","year","votes","rating"
"Túmulo dos Vagalumes","Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi","http://www.imdb.com/title/tt0095327/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_48",1988,225820,8.5
"Era uma Vez no Oeste","Sergio Leone (dir.), Henry Fonda, Charles Bronson","http://www.imdb.com/title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_49",1968,295541,8.5
"Casablanca","Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman","http://www.imdb.com/title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_50",1942,510394,8.4
"Cinema Paradiso","Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale","http://www.imdb.com/title/tt0095765/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_51",1988,223344,8.4
"Janela Indiscreta","Alfred Hitchcock (dir.), James Stewart, Grace Kelly","http://www.imdb.com/title/tt0047396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_52",1954,432832,8.4
"Alien - O 8º Passageiro","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt","http://www.imdb.com/title/tt0078748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_53",1979,769570,8.4
"Apocalypse Now","Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando","http://www.imdb.com/title/tt0078788/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_54",1979,591801,8.4
"Amnésia","Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss","http://www.imdb.com/title/tt0209144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_55",2000,1100111,8.4
"Os Caçadores da Arca Perdida","Steven Spielberg (dir.), Harrison Ford, Karen Allen","http://www.imdb.com/title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_56",1981,866135,8.4
"O Grande Ditador","Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard","http://www.imdb.com/title/tt0032553/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_57",1940,197625,8.4
"Coringa","Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro","http://www.imdb.com/title/tt7286456/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_58",2019,858888,8.4
"Django Livre","Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz","http://www.imdb.com/title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_59",2012,1319167,8.4
"A Vida dos Outros","Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck","http://www.imdb.com/title/tt0405094/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_60",2006,349946,8.4
"Glória Feita de Sangue","Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker","http://www.imdb.com/title/tt0050825/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_61",1957,172889,8.4
"O Iluminado","Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall","http://www.imdb.com/title/tt0081505/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_62",1980,870463,8.4
"WALL·E","Andrew Stanton (dir.), Ben Burtt, Elissa Knight","http://www.imdb.com/title/tt0910970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63",2008,975540,8.4
"Vingadores: Guerra Infinita","Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth","http://www.imdb.com/title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64",2018,797844,8.4
"Crepúsculo dos Deuses","Billy Wilder (dir.), William Holden, Gloria Swanson","http://www.imdb.com/title/tt0043014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65",1950,196042,8.4
"Testemunha de Acusação","Billy Wilder (dir.), Tyrone Power, Marlene Dietrich","http://www.imdb.com/title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66",1957,104726,8.4
"Homem-Aranha no Aranhaverso","Bob Persichetti (dir.), Shameik Moore, Jake Johnson","http://www.imdb.com/title/tt4633694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_67",2018,336837,8.4
"Princesa Mononoke","Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida","http://www.imdb.com/title/tt0119698/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_68",1997,331484,8.4
"Oldboy","Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo","http://www.imdb.com/title/tt0364569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=X37ZVGM5SQKW747MFCE5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_69",2003,501581,8.4
